GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP
2402706-014,2067,1600,801,133,526,16,130,1,799
2402706-016,4008,2960,1133,420,1020,51,416,7,1827
2402704-003,2353,1853,1586,60,60,34,92,6,267
2402701-016,1236,915,455,128,149,31,172,2,460
2402701-002,856,613,430,24,62,3,96,0,183
2402701-014,2490,1897,1295,65,143,16,378,3,602
2402701-018,596,468,274,40,66,3,85,0,194
2402702-016,4255,3146,1708,109,286,22,1003,5,1438
2402706-004,2721,2116,1547,116,234,46,192,0,569
2402706-009,3181,2296,687,511,864,74,216,7,1609
2401503-003,7120,5411,3915,311,934,135,132,4,1496
2401503-004,980,744,625,36,46,29,6,0,119
2401502-002,2809,2214,2001,63,73,34,13,3,213
24015ZZZZZZ,0,0,0,0,0,0,0,0,0
2401503-005,2144,1725,1154,122,340,34,64,3,571
2401505-001,3806,2948,2530,115,169,94,34,7,418
2401505-006,982,767,638,34,41,18,29,1,129
2403308-001,1909,1584,809,92,633,53,22,6,775
2403313-003,2353,1776,17,248,1494,42,30,2,1759
2403313-008,3122,2132,58,588,1358,43,121,7,2074
2403310-006,6634,5200,735,806,3184,113,527,16,4465
2403310-001,3168,2554,342,463,1552,53,226,7,2212
2403310-014,2454,1640,74,277,1277,30,31,0,1566
2403317-007,7205,5686,245,2015,3410,161,119,13,5441
2403307-010,5267,4175,514,193,3320,52,199,1,3661
2403307-007,4987,3997,875,200,2666,87,255,7,3122
2403311-003,4380,3478,248,162,2971,66,97,7,3230
2403311-005,616,502,62,34,393,8,18,0,440
2403302-001,3903,2899,100,839,1957,63,30,0,2799
2403305-001,7066,5418,632,395,4009,128,380,13,4786
2403312-010,5860,4957,779,602,2994,75,607,13,4178
2403312-006,5506,4319,53,362,3878,80,50,5,4266
2400901-001,3839,3353,2772,92,356,42,81,11,581
2402107-006,8,3,2,0,0,0,1,0,1
2400106-006,1875,1502,1393,17,44,34,20,5,109
2400108-000,3232,2580,2477,27,27,32,13,0,103
2400116-000,3199,2850,1783,132,884,37,26,0,1067
2400129-001,2240,1845,1728,12,36,21,27,4,117
2403318-006,5185,3950,54,188,3710,35,25,4,3896
2403318-009,3146,2554,115,301,2118,31,63,5,2439
2403306-017,5327,4399,127,240,3988,66,62,4,4272
2403306-001,5014,4016,168,425,3403,64,34,9,3848
2403306-011,2924,2361,65,184,2095,40,19,1,2296
2403314-004,2776,2144,1123,240,628,36,122,2,1021
2403306-006,4965,4010,101,287,3593,55,61,3,3909
2403306-016,5668,4149,98,274,3750,79,48,5,4051
