GEOID,TOT,REP,DEM,OTH
37169000020,6278,4732,1406,140
37169001819,4791,3349,1357,85
37169001618,9406,5634,3556,216
37095000ENG,2208,1315,846,47
37169000009,9685,7437,2014,234
371370003BY,6247,2837,3298,112
370510G2C-2,10899,4840,5796,263
370510G2C-1,13318,5031,7854,433
370510G5A-2,10225,3825,6169,231
37051000G8A,15438,5489,9518,431
37051000G8C,9496,3671,5570,255
3705100AH49,13699,3766,9579,354
37051000G6A,20697,14483,5810,404
3716300CLEM,6567,4669,1791,107
37071000017,18923,10499,7968,456
371170000R1,4295,1427,2803,65
371170000HM,3496,1214,2217,65
3711700000J,8526,5352,3058,116
370130PINET,4207,3595,531,81
370150000MH,3524,1470,2010,44
371570000HO,9111,6353,2534,224
37081000FR4,7783,4186,3424,173
37081000H09,5822,306,5403,113
37081000H08,4086,390,3625,71
37081000G29,7402,2447,4772,183
37169000008,6064,4834,1061,169
37169000013,8122,6417,1506,199
37169000012,8753,6864,1682,207
37081000RC2,24109,11369,12155,585
37125000WAB,16636,9133,6957,546
37125000WND,11657,7242,4156,259
37037000003,8301,5735,2405,161
37019000002,31364,16500,14011,853
37189000011,10909,6352,4223,334
37189000014,14427,5653,8254,520
37115LAUREL,3933,2530,1298,105
37001000002,16753,13241,3219,293
37001000005,12266,9467,2551,248
3703300ANDE,3982,2819,1101,62
3703300STON,10042,6575,3300,167
37001000011,15166,7128,7760,278
371350000CA,5453,2805,2509,139
370330000PH,8436,5290,3033,113
37001000007,14730,11131,3315,284
3700100008S,6859,4658,2057,144
37071000025,10682,6902,3454,326
37071000028,17992,11382,6082,528
37071000029,21420,14586,6360,474
3713704VM-A,943,420,515,8
3713704MSIC,852,368,479,5
371510000NM,19610,16407,2791,412
371510000RN,25328,18557,6083,688
